"name","group","element","units","context","S434050","S434051","S434052","S434053","S434054","S434055","S434056","S434057","S434058","S434059","S434060","S434061","S434062","S434063","S434064","S434065","S434066","S434067","S434068","S434069","S434070","S434071","S434072","S434073","S434074","S434075","S434076","S434077","S434078","S434079","S434080","S434081","S434082","S434083","S434084","S434085","S434086","S434087","S434088","S434089","S434090","S434091","S434092","S434093","S434094","S434095","S434096","S434097","S434098","S434099","S434100","S434101","S434102","S434103","S434104","S434105","S434106","S434107","S434108","S434109","S434110","S434111","S434112","S434113","S434114","S434115","S434116","S434117","S434118","S434119","S434120","S434121","S434122","S434123","S434124"
Poaceae,UPHE,caryopsis,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Polytrichum,AQBR,stem, leaf,NISP,,1,2,,5,1,,2,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
Rubus,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Sample quantity,LABO,volume,ml,,18,15,5,9,17,14,17,14,15,15,16,17,17,15,18,17,18,17,16,16,16,15,16,16,17,17,17,17,17,18,18,15,18,17,16,18,18,18,18,19,18,21,12,18,18,15,17,18,19,19,18,18,19,18,18,17,17,19,15,18,18,18,18,17,15,16,20,15,17,19,20,16,18,14,10
Selaginella selaginoides,VACR,aboveground parts,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5
Sparganium angustifolium/S. natans,AQVP,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermatophyta,SEED,wood,>2 mm,,6,1,2,7,1,13,28,14,3,2,2,,1,,3,,14,8,,,1,6,,4,3,1,,,,,,,1,,4,1,,,3,3,,1,,,,1,,,1,,,,34,1,,,1,6,,1,,4,1,2,,,3,2,5,,1,,3,,3
Spermatophyta,SEED,bark,>2 mm,,16,54,1,4,2,,21,13,3,3,3,2,,,,8,,7,10,6,1,5,,,,7,,,,4,1,,,,1,,5,,,,5,2,2,4,6,1,6,1,,2,2,2,,1,4,,4,2,2,,,5,1,2,,,4,,2,5,,1,,11,
Spermatophyta,SEED,rhizome/root,NISP,,8,26,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermatophyta,SEED,bud,NISP,,,3,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermatophyta,SEED,twig,>2 mm,,,5,1,,1,,11,4,,,,,,,,,,1,1,,,1,,,,4,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Spermatophyta,SEED,seed,NISP,,,,1,2,,2,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,1,2,,1,,,,1,,
Sphagnum,AQBR,leaf,NISP,,189,769,729,2150,1024,584,940,953,578,456,133,334,311,688,703,165,327,739,96,163,238,211,173,212,125,200,153,166,264,407,169,381,300,402,792,544,291,615,618,406,417,267,88,678,65,198,116,147,174,76,122,122,60,128,35,120,37,84,75,121,67,76,130,55,65,97,51,28,74,27,63,19,54,88,14
Trichoptera,TRIC,stone case,NISP,,,3,,,,2,,2,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,1,3,,,,,,,,,,,,,,,,,,,,,
Trichoptera,TRIC,plant case,NISP,,,,1,,,2,1,,,,,1,,,,,,1,1,3,1,1,,,,,,,,1,,,,,,1,,1,,1,4,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Unknown,UNID,fragment,NISP,,,,,,,,,1,1,1,,1,,1,1,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,1,,,,,,,,1,2
Vaccinium myrtillus,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sp.,TRSH,seed,NISP,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,,1,,1
